bulan,beresiko
01/01/2013,199
01/02/2013,52
01/03/2013,84
01/04/2013,66
01/05/2013,94
01/06/2013,
01/07/2013,
01/08/2013,
01/09/2013,
01/10/2013,
01/11/2013,6
01/12/2013,63
01/01/2014,18
01/02/2014,44
01/03/2014,26
01/04/2014,28
01/05/2014,52
01/06/2014,40
01/07/2014,20
01/08/2014,64
01/09/2014,84
01/10/2014,94
01/11/2014,77
01/12/2014,35
01/01/2015,40
01/02/2015,117
01/03/2015,131
01/04/2015,150
01/05/2015,143
01/06/2015,96
01/07/2015,120
01/08/2015,131
01/09/2015,151
01/10/2015,109
01/11/2015,44
01/12/2015,52
01/01/2016,135
01/02/2016,186
01/03/2016,85
01/04/2016,157
01/05/2016,126
01/06/2016,184
01/07/2016,152
01/08/2016,270
01/09/2016,191
01/10/2016,178
01/11/2016,150
01/12/2016,101
01/01/2017,110
01/02/2017,60
01/03/2017,58
01/04/2017,77
01/05/2017,90
01/06/2017,108
01/07/2017,124
01/08/2017,124
01/09/2017,149
01/10/2017,196
01/11/2017,181
01/12/2017,130
01/01/2018,134
01/02/2018,83
01/03/2018,112
01/04/2018,131
01/05/2018,122
01/06/2018,42
01/07/2018,128
01/08/2018,145
01/09/2018,94
01/10/2018,158
01/11/2018,100
01/12/2018,89
01/01/2019,85
01/02/2019,110
01/03/2019,141
01/04/2019,75
01/05/2019,107
01/06/2019,71
01/07/2019,167
01/08/2019,132
01/09/2019,125
01/10/2019,202
01/11/2019,59
01/12/2019,46
01/01/2020,63
01/02/2020,47
01/03/2020,51
01/04/2020,74
01/05/2020,62
01/06/2020,33
01/07/2020,26
01/08/2020,
01/09/2020,
01/10/2020,
01/11/2020,
01/12/2020,
01/01/2021,7
01/02/2021,22
01/03/2021,131
01/04/2021,193
01/05/2021,32
01/06/2021,46
01/07/2021,79
01/08/2021,130
01/09/2021,155
01/10/2021,126
01/11/2021,105
01/12/2021,129
